E-Number,Name,Alternative Name,Function,Status,Source,Health Info,Uses,Link
E-number: 100, Curcurmin," 1,7-Bis(4-hydroxy-3-methoxyphenyl-1,6-heptadiene-3,5-dione; turmeric yellow; Diferuloylmethane; C.I. 75300Function: ColouringStatus:HalaalSource: Vegetable extract – orange yellow colour.",,Halaal,Vegetable extract – orange yellow colour.,"Health Code: Greenhas many beneficial health effects, may cause skin irritation, moderately toxic by injection","Curry powder, fish fingers, margarine, confectionery, processed cheese, savoury rice",https://sanha.org.za/2009/12/17/e100-curcurmin/
E-number: 101, Riboflavin,"Alternative Names: Lactoflavin, Vitamin B2; Vitamin GFunction: ColouringStatus:HalaalSource: Microbiological; Synthetic",,Halaal,Microbiological; Synthetic,"Health Code: Greensafe in food use, has beneficial effects in the body","Baby cereals, enriched breads, peanut butter, breakfast cerealsOther",https://sanha.org.za/2009/12/17/e101-riboflavin/
E-number: 101(a), Riboflavin-5′-phosphate,Alternative Names: Riboflavin-5-[Sodium phosphate]Function: ColouringStatus:HalaalSource: Soluble Riboflavin; Chemical using Riboflavin,,Halaal,Soluble Riboflavin; Chemical using Riboflavin,"Health Code: Greensafe in food use, has beneficial effects in the body","Baby cereals, enriched breads, peanut butter, breakfast cerealsOther",https://sanha.org.za/2009/12/17/e101a-riboflavin-5-phosphate/
E-number: 102, Tartrazine,Alternative Names: FD&C Yellow 5; C.I. 19140; C.I. Food Yellow 4; C.I. acid yellow 23; hydrazine yellowFunction: ColouringStatus:HalaalSource: Synthetic,,Halaal,Synthetic,"Health Code: Red++Asthma, hives, dermatitis, headache, hay fever, concentration difficulties, depression, skin rash, learning difficulties, behavioural problems, swelling of lips and tongue, hyperactivity, aggressive behaviour, insomnia, confusion, anaphylaxis, aspiri","Confectionery, sweet corn, cheese crackers, soft drinks, mint sauce, mint jelly, fruit juice cordial, canned peas, marzipan, pickles, brown sauce, packet dessert topping, jams, cereal, packaged soups.",https://sanha.org.za/2009/12/17/e102-tartrazine/
E-number: 103, Chrysoine Resorcinol,Alternative Names: Tropaeolin O; C.I. acid orange 6; C.I. food yellow 8; C.I. 14270; Yellow T; tropeolin O; tropaeolin R; gold yellow.Function:Status:HalaalSource: Source: synthetic colour.,,Halaal,,,,https://sanha.org.za/2009/12/17/e103-chrysoine-resorcinol/
E-number: 104, Quinoline Yellow,Alternative Names: C.I. 47005; C.I. Acid Yellow 3; D&C Yellow No. 10; Food Yellow 13Function: ColouringStatus:HalaalSource: Synthetic,,Halaal,Synthetic,"Health Code: RedAsthma, hives, skin rash, hyperactivity, anaphylaxis, aspirin sensitive people may wish to avoid, carcinogenic","Beverages, processed foodsOther",https://sanha.org.za/2009/12/17/e104-quinoline-yellow/
E-number: 105, Fast Yellow AB,Alternative Names: Tropaeolin OO; C.I. acid orange 5; diphenylamine orange; orange GS; Orange N; orange IV; acid yellow D; C.I. 13080.Function:Status:HalaalSource: Synthetic chemical.,,Halaal,Synthetic chemical.,,,https://sanha.org.za/2009/12/17/e105-fast-yellow-ab/
E-number: 106, Riboflavin-5-sodium PhosphateAlternative Names :Riboflavin-5-Phosphate sodium salt; Vitamin B2 phosphate sodium salt.Function:Status:HalaalSource: Source: from riboflavin and chlorophosphoric acid.,,,Halaal,,,,https://sanha.org.za/2009/12/17/e106-riboflavin-5-sodium-phosphate/
E-number: 107, Yellow 2GAlternative Names :Food Yellow 5Function:Status:HalaalSource: Synthetic,,,Halaal,Synthetic,,,https://sanha.org.za/2009/12/17/e107-yellow-2g/
E-number: 110, Sunset Yellow FCFAlternative Names :C.I. 15985; FD&C Yellow 6; C.I. Food Yellow 3Function: ColouringStatus:HalaalSource: Synthetic,"Uses:Fruit juice cordial, marzipan, packet soup, cereal, confectionery, dry drink powder, canned fishOther Uses: Cosmetics, hair rinses",,Halaal,Synthetic,"Health Code: Red++Asthma, hives, abdominal pain, eczema, hyperactivity, aspirin sensitive people may wish to avoid, carcinogenic","Fruit juice cordial, marzipan, packet soup, cereal, confectionery, dry drink powder, canned fishOther",https://sanha.org.za/2009/12/17/e110-sunset-yellow-fcf/
E-number: 1103, InvertaseAlternative Names :EC 3.2.1.26; Invertin; saccharase; sucrase.Function: Processing aidStatus:HalaalSource: microbiological from yeast.,Uses:Confectionery with soft centres,,Halaal,microbiological from yeast.,Health Code: YellowGM enzymes have been linked to serious health concerns and even death,Confectionery with soft centres,https://sanha.org.za/2009/12/17/e1103-invertase/
